(1, 1, null, null, ../../assets/recipe-icons/maple-lumber.png, Maple Lumber, 1, Maple Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(2, 1, 1, null, ../../assets/recipe-icons/maple-clogs.png, Maple Clogs, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(3, 2, 5, null, ../../assets/recipe-icons/maple-shortbow.png, Maple Shortbow, 1, Maple Lumber, 1, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(4, 3, 5, null, ../../assets/recipe-icons/bone-harpoon.png, Bone Harpoon, 1, Maple Lumber, 1, Bone Chip, 1, Animal Glue, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(5, 4, 5, null, ../../assets/recipe-icons/amateur's-grinding-wheel.png, Amateur's Grinding Wheel, 1, Maple Lumber, 1, Bronze Ingot, 1, Ragstone, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(6, 4, 5, null, ../../assets/recipe-icons/maple-pattens.png, Maple Pattens, 1, Maple Lumber, 1, Undyed Hempen Cloth, 1, Leather, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(7, 5, 5, null, ../../assets/recipe-icons/amateur's-spinning-wheel.png, Amateur's Spinning Wheel, 1, Maple Lumber, 2, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(8, 5, 1, null, ../../assets/recipe-icons/square-maple-shield.png, Square Maple Shield, 1, Maple Lumber, 1, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(9, 6, 8, null, ../../assets/recipe-icons/bronze-spear.png, Bronze Spear, 1, Maple Lumber, 1, Fish Oil, 1, Bronze Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(10, 6, 6, null, ../../assets/recipe-icons/maple-cane.png, Maple Cane, 1, Maple Lumber, 1, Growth Formula Alpha, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(11, 7, 8, null, ../../assets/recipe-icons/maple-longbow.png, Maple Longbow, 1, Maple Lumber, 1, Maple Branch, 1, Hempen Yarn, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(12, 8, 10, null, ../../assets/recipe-icons/maple-crook.png, Maple Crook, 1, Maple Lumber, 1, Beastkin Blood, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(13, 8, 8, null, ../../assets/recipe-icons/maple-fishing-rod.png, Maple Fishing Rod, 1, Maple Lumber, 1, Maple Branch, 1, Bronze Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(14, 9, 10, null, ../../assets/recipe-icons/plumed-maple-shortbow.png, Plumed Maple Shortbow, 1, Maple Shortbow, 1, Maple Branch, 1, Cock Feather, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
