(1, 1, null, null, ../../assets/recipe-icons/distilled-water.png, Distilled Water, 1, Muddy Water, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(2, 1, null, null, ../../assets/recipe-icons/quicksilver.png, Quicksilver, 1, Cinnabar, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(3, 2, null, null, ../../assets/recipe-icons/animal-glue.png, Animal Glue, 1, Animal Skin, 1, Bone Chip, 2, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(4, 3, null, null, ../../assets/recipe-icons/growth-formula-alpha.png, Growth Formula Alpha, 1, Shriekshroom, 1, Quicksilver, 1, Rock Salt, 1, null, null, null, null, null, null, Water Shard, 1, null, null),
(5, 4, null, null, ../../assets/recipe-icons/enchanted-copper-ink.png, Enchanted Copper Ink, 1, Copper Sand, 2, Beastkin Blood, 1, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(6, 4, 5, null, ../../assets/recipe-icons/maple-wand.png, Maple Wand, 1, Maple Branch, 1, Growth Formula Alpha, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(7, 5, 5, null, ../../assets/recipe-icons/leather-grimoire.png, Leather Grimoire, 1, Enchanted Copper Ink, 1, Leather, 1, Maple Log, 1, Hempen Yarn, 1, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(8, 5, null, null, ../../assets/recipe-icons/antidote.png, Antidote, 3, Rock Salt, 1, Grass Viper, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(9, 6, null, null, ../../assets/recipe-icons/eye-drops.png, Eye Drops, 3, Rock Salt, 1, Yellow Ginseng, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(10, 7, null, null, ../../assets/recipe-icons/rubber.png, Rubber, 1, Latex, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(11, 8, 8, null, ../../assets/recipe-icons/maple-picatrix.png, Maple Picatrix, 1, Enchanted Copper Ink, 1, Maple Lumber, 1, Maple Log, 1, Hempen Yarn, 1, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(12, 8, 8, null, ../../assets/recipe-icons/whispering-maple-wand.png, Whispering Maple Wand, 1, Maple Wand, 1, Growth Formula Alpha, 2, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(13, 10, null, null, ../../assets/recipe-icons/fish-oil.png, Fish Oil, 1, Princess Trout, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(14, 10, null, null, ../../assets/recipe-icons/fish-glue.png, Fish Glue, 1, Coral Butterfly, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(15, 10, null, null, ../../assets/recipe-icons/beeswax.png, Beeswax, 1, Beehive Chip, 3, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(16, 10, 10, null, ../../assets/recipe-icons/engraved-leather-grimoire.png, Engraved Leather Grimoire, 1, Leather Grimoire, 1, Leather, 2, Ash Log, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(17, 11, null, null, ../../assets/recipe-icons/roof-tile.png, Roof Tile, 1, Potter's Clay, 2, Straw, 1, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(18, 11, 11, null, ../../assets/recipe-icons/budding-maple-wand.png, Budding Maple Wand, 1, Maple Wand, 1, Growth Formula Alpha, 1, Beastkin Blood, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(19, 12, null, null, ../../assets/recipe-icons/potion.png, Potion, 3, Distilled Water, 1, Tinolqa Mistletoe, 1, Chanterelle, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
