(2, 1, 1, null, null, ../../assets/recipe-icons/armorer/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 2, 2, null, null, ../../assets/recipe-icons/armorer/bronze-rings.png, Bronze Rings, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 3, 2, null, null, ../../assets/recipe-icons/armorer/bronze-rivets.png, Bronze Rivets, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 4, 3, null, null, ../../assets/recipe-icons/armorer/bronze-plate.png, Bronze Plate, 1, Bronze Ingot, 2, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 5, 3, 8, null, ../../assets/recipe-icons/armorer/bronze-alembic.png, Bronze Alembic, 1, Bronze Plate, 1, Bronze Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 6, 4, 8, null, ../../assets/recipe-icons/armorer/bronze-skillet.png, Bronze Skillet, 1, Bronze Plate, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 7, 5, 8, null, ../../assets/recipe-icons/armorer/bronze-hoplon.png, Bronze Hoplon, 1, Bronze Plate, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 8, 6, 8, null, ../../assets/recipe-icons/armorer/bronze-haubergeon.png, Bronze Haubergeon, 1, Bronze Rings, 3, Undyed Hempen Cloth, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 9, 7, 8, null, ../../assets/recipe-icons/armorer/bronze-sollerets.png, Bronze Sollerets, 1, Bronze Plate, 1, Bronze Rings, 1, Leather, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 10, 8, 8, null, ../../assets/recipe-icons/armorer/bronze-chain-coif.png, Bronze Chain Coif, 1, Bronze Plate, 1, Bronze Rings, 1, Leather, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 11, 8, 10, null, ../../assets/recipe-icons/armorer/bronze-sallet.png, Bronze Sallet, 1, Bronze Plate, 1, Bronze Ingot, 1, Bronze Rivets, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 12, 9, 12, null, ../../assets/recipe-icons/armorer/amateur's-alembic.png, Amateur's Alembic, 1, Bronze Plate, 1, Bronze Rivets, 1, Copper Ingot, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 13, 9, 12, null, ../../assets/recipe-icons/armorer/bronze-mitt-gauntlets.png, Bronze Mitt Gauntlets, 1, Bronze Plate, 1, Bronze Rivets, 1, Leather, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 14, 10, 13, null, ../../assets/recipe-icons/armorer/bronze-scutum.png, Bronze Scutum, 1, Bronze Plate, 2, Bronze Rivets, 3, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 15, 10, 12, null, ../../assets/recipe-icons/armorer/bronze-barbut.png, Bronze Barbut, 1, Bronze Plate, 1, Bronze Rivets, 1, Copper Ingot, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 16, 11, 12, null, ../../assets/recipe-icons/armorer/amateur's-skillet.png, Amateur's Skillet, 1, Bronze Plate, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 17, 11, 15, null, ../../assets/recipe-icons/armorer/bronze-plate-belt.png, Bronze Plate Belt, 1, Bronze Plate, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
