(1, 1, null, null, ../../assets/recipe-icons/blacksmith/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(2, 1, 8, null, ../../assets/recipe-icons/blacksmith/bronze-hatchet.png, Bronze Hatchet, 1, Bronze Ingot, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(3, 2, 5, null, ../../assets/recipe-icons/blacksmith/bronze-bastard-sword.png, Bronze Bastard Sword, 1, Bronze Ingot, 1, Maple Lumber, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(4, 2, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-file.png, Amateur's File, 1, Bronze Ingot, 2, Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(5, 3, null, null, ../../assets/recipe-icons/blacksmith/bronze-rivets.png, Bronze Rivets, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(6, 3, 5, null, ../../assets/recipe-icons/blacksmith/bronze-war-axe.png, Bronze War Axe, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(7, 3, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-pliers.png, Amateur's Pliers, 1, Bronze Ingot, 1, Bronze Rivets, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(8, 4, 8, null, ../../assets/recipe-icons/blacksmith/bronze-saw.png, Bronze Saw, 1, Bronze Ingot, 1, Bronze Rivets, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(9, 4, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-awl.png, Amateur's Awl, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(10, 5, 5, null, ../../assets/recipe-icons/blacksmith/bronze-daggers.png, Bronze Daggers, 1, Bronze Ingot, 2, Maple Lumber, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(11, 5, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-claw-hammer.png, Amateur's Claw Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(12, 5, 8, null, ../../assets/recipe-icons/blacksmith/bronze-cross-pein-hammer.png, Bronze Cross-pein Hammer, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(13, 5, 8, null, ../../assets/recipe-icons/blacksmith/bronze-doming-hammer.png, Bronze Doming Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(14, 6, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-mortar.png, Amateur's Mortar, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
