(1, 1, null, null, ../../assets/recipe-icons/culinarian/table-salt.png, Table Salt, 6, Rock Salt, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(2, 1, null, null, ../../assets/recipe-icons/culinarian/maple-syrup.png, Maple Syrup, 3, Maple Sap, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(3, 2, null, null, ../../assets/recipe-icons/culinarian/maple-sugar.png, Maple Sugar, 3, Maple Syrup, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(4, 3, 3, null, ../../assets/recipe-icons/culinarian/raisins.png, Raisins, 3, Lowland Grapes, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(5, 3, 3, null, ../../assets/recipe-icons/culinarian/boiled-egg.png, Boiled Egg, 3, Chicken Egg, 1, Mineral Water, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(6, 4, null, null, ../../assets/recipe-icons/culinarian/rye-flour.png, Rye Flour, 3, Rye, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(7, 4, null, null, ../../assets/recipe-icons/culinarian/honey.png, Honey, 3, Beehive Chip, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(8, 4, 4, null, ../../assets/recipe-icons/culinarian/frumenty.png, Frumenty, 3, Sunset Wheat, 1, Raisins, 1, Honey, 1, Aldgoat Milk, 1, Cinnamon, 1, null, null, Fire Shard, 1, Water Shard, 1),
(9, 5, null, null, ../../assets/recipe-icons/culinarian/fishmeal.png, Fishmeal, 12, Lominsan Anchovy, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(10, 5, 5, null, ../../assets/recipe-icons/culinarian/crayfish-ball.png, Crayfish Ball, 10, Crayfish, 3, Rye Flour, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(11, 5, 5, null, ../../assets/recipe-icons/culinarian/battered-fish.png, Battered Fish, 1, Haddock, 1, Popoto, 1, Olive Oil, 1, Table Salt, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(12, 5, 5, null, ../../assets/recipe-icons/culinarian/rolanberry-shaved-ice.png, Rolanberry Shaved Ice, 1, Mineral Water, 1, Rolanberry, 1, Maple Syrup, 1, Buffalo Milk, 1, null, null, null, null, Ice Shard, 2, null, null),
(13, 5, 5, null, ../../assets/recipe-icons/culinarian/flatbread.png, Flatbread, 3, Rye Flour, 1, Table Salt, 1, Mineral Water, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(14, 5, 5, null, ../../assets/recipe-icons/culinarian/marmot-steak.png, Marmot Steak, 3, Marmot Meat, 1, Wild Onion, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(15, 5, 8, null, ../../assets/recipe-icons/culinarian/grilled-trout.png, Grilled Trout, 3, Princess Trout, 1, Table Salt, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(16, 6, null, null, ../../assets/recipe-icons/culinarian/sweet-cream.png, Sweet Cream, 3, Buffalo Milk, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
