(1, 1, null, null, ../../assets/recipe-icons/copper-ingot.png, Copper Ingot, 1, Copper Ore, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(2, 2, 5, null, ../../assets/recipe-icons/bone-hora.png, Bone Hora, 1, Bone Chip, 2, Animal Sinew, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(3, 3, 5, null, ../../assets/recipe-icons/bone-brand.png, Bone Brand, 1, Marbled Eye, 1, Bone Chip, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(4, 4, null, null, ../../assets/recipe-icons/copper-rings.png, Copper Rings, 1, Copper Ingot, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(5, 5, 5, null, ../../assets/recipe-icons/bone-staff.png, Bone Staff, 1, Marbled Eye, 1, Soiled Femur, 1, Bone Chip, 1, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(6, 5, 8, null, ../../assets/recipe-icons/copper-gorget.png, Copper Gorget, 1, Copper Ingot, 2, Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(7, 5, 8, null, ../../assets/recipe-icons/copper-wristlets.png, Copper Wristlets, 1, Copper Ingot, 1, Copper Rings, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(8, 6, null, null, ../../assets/recipe-icons/ragstone-whetstone.png, Ragstone Whetstone, 1, Ragstone, 2, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(9, 6, 7, null, ../../assets/recipe-icons/copper-earrings.png, Copper Earrings, 1, Copper Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(10, 7, 9, null, ../../assets/recipe-icons/copper-ring.png, Copper Ring, 1, Copper Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(11, 7, 9, null, ../../assets/recipe-icons/bone-ring.png, Bone Ring, 1, Bone Chip, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(12, 8, 8, null, ../../assets/recipe-icons/copper-needle.png, Copper Needle, 1, Copper Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(13, 8, 8, null, ../../assets/recipe-icons/bone-necklace.png, Bone Necklace, 1, Soiled Femur, 2, Copper Rings, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(14, 9, 9, null, ../../assets/recipe-icons/ramhorn-staff.png, Ramhorn Staff, 1, Marbled Eye, 1, Ram Horn, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(15, 9, 9, null, ../../assets/recipe-icons/copper-choker.png, Copper Choker, 1, Copper Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(16, 10, 10, null, ../../assets/recipe-icons/ramhorn-claws.png, Ramhorn Claws, 1, Ram Horn, 2, Animal Sinew, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(17, 10, 9, null, ../../assets/recipe-icons/copper-scepter.png, Copper Scepter, 1, Marbled Eye, 1, Copper Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(18, 10, 10, null, ../../assets/recipe-icons/bone-armillae.png, Bone Armillae, 1, Soiled Femur, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(19, 11, 11, null, ../../assets/recipe-icons/copper-ear-cuffs.png, Copper Ear Cuffs, 1, Copper Ingot, 2, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(20, 12, 12, null, ../../assets/recipe-icons/bronze-scepter.png, Bronze Scepter, 1, Marbled Eye, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(21, 12, 12, null, ../../assets/recipe-icons/amateur's-needle.png, Amateur's Needle, 1, Bat Fang, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(22, 13, null, null, ../../assets/recipe-icons/sunstone.png, Sunstone, 1, Raw Sunstone, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(23, 13, null, null, ../../assets/recipe-icons/danburite.png, Danburite, 1, Raw Danburite, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(24, 13, null, null, ../../assets/recipe-icons/fluorite.png, Fluorite, 1, Raw Fluorite, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(25, 13, 12, null, ../../assets/recipe-icons/decorated-bone-staff.png, Decorated Bone Staff, 1, Bone Staff, 1, Soiled Femur, 1, Bat Fang, 2, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(26, 14, null, null, ../../assets/recipe-icons/sphene.png, Sphene, 1, Raw Sphene, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(27, 14, null, null, ../../assets/recipe-icons/malachite.png, Malachite, 1, Raw Malachite, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(28, 14, null, null, ../../assets/recipe-icons/lapis-lazuli.png, Lapis Lazuli, 1, Raw Lapis Lazuli, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(29, 14, null, null, ../../assets/recipe-icons/brass-ingot.png, Brass Ingot, 1, Copper Ore, 2, Zinc Ore, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(30, 14, 15, null, ../../assets/recipe-icons/brass-cudgel.png, Brass Cudgel, 1, Bronze Ingot, 1, Marbled Eye, 1, Brass Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(31, 14, 13, null, ../../assets/recipe-icons/brass-spectacles.png, Brass Spectacles, 1, Brass Ingot, 1, Clear Glass Lens, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(32, 15, null, null, ../../assets/recipe-icons/brass-rings.png, Brass Rings, 1, Brass Ingot, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(33, 15, 15, null, ../../assets/recipe-icons/fang-earrings.png, Fang Earrings, 1, Brass Ingot, 1, Bat Fang, 1, Hard Leather, 1, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(34, 15, 16, null, ../../assets/recipe-icons/brass-gorget.png, Brass Gorget, 1, Brass Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(35, 15, 16, null, ../../assets/recipe-icons/brass-wristlets.png, Brass Wristlets, 1, Brass Ingot, 1, Brass Rings, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(36, 16, 16, null, ../../assets/recipe-icons/bat-fang-needle.png, Bat Fang Needle, 1, Bat Fang, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(37, 16, 16, null, ../../assets/recipe-icons/brass-wristlets-of-crafting.png, Brass Wristlets of Crafting, 1, Brass Ingot, 1, Brass Rings, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(38, 17, 17, null, ../../assets/recipe-icons/toothed-ramhorn-staff.png, Toothed Ramhorn Staff, 1, Ramhorn Staff, 1, Ram Horn, 2, Ragstone Whetstone, 1, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(39, 17, 17, null, ../../assets/recipe-icons/brass-earrings.png, Brass Earrings, 1, Brass Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(40, 17, 17, null, ../../assets/recipe-icons/fang-necklace.png, Fang Necklace, 1, Bat Fang, 2, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(41, 18, 18, null, ../../assets/recipe-icons/brass-circlet-(sunstone).png, Brass Circlet (Sunstone), 1, Sunstone, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(42, 18, 18, null, ../../assets/recipe-icons/brass-circlet-(danburite).png, Brass Circlet (Danburite), 1, Danburite, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(43, 18, 18, null, ../../assets/recipe-icons/brass-circlet-(fluorite).png, Brass Circlet (Fluorite), 1, Fluorite, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(44, 19, 20, null, ../../assets/recipe-icons/staghorn-staff.png, Staghorn Staff, 1, Marbled Eye, 1, Antelope Horn, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(45, 19, 18, null, ../../assets/recipe-icons/brass-circlet-(sphene).png, Brass Circlet (Sphene), 1, Sphene, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(46, 19, 18, null, ../../assets/recipe-icons/brass-circlet-(malachite).png, Brass Circlet (Malachite), 1, Malachite, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(47, 19, 18, null, ../../assets/recipe-icons/brass-circlet-(lapis-lazuli).png, Brass Circlet (Lapis Lazuli), 1, Lapis Lazuli, 1, Brass Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(48, 19, 19, null, ../../assets/recipe-icons/coral-armillae.png, Coral Armillae, 1, White Coral, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(49, 20, null, null, ../../assets/recipe-icons/mudstone-whetstone.png, Mudstone Whetstone, 1, Mudstone, 2, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(50, 20, 18, null, ../../assets/recipe-icons/decorated-copper-scepter.png, Decorated Copper Scepter, 1, Copper Scepter, 1, Brass Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(51, 20, 18, null, ../../assets/recipe-icons/brass-ring.png, Brass Ring, 1, Brass Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(52, 20, 18, null, ../../assets/recipe-icons/brass-ring-of-crafting.png, Brass Ring of Crafting, 1, Brass Ingot, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
(53, 20, 20, null, ../../assets/recipe-icons/crow-fly.png, Crow Fly, 3, Brass Ingot, 1, Crow Feather, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Fire Shard, 1),
