(1, 1, null, null, ../../assets/recipe-icons/leatherworker/leather.png, Leather, 1, Animal Skin, 1, null, null, null, null, null, null, null, null, null, null, Earth Shard, 1, null, null),
(2, 1, 1, null, ../../assets/recipe-icons/leatherworker/leather-calot.png, Leather Calot, 1, Leather, 1, null, null, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(3, 2, 1, null, ../../assets/recipe-icons/leatherworker/leather-wristguards.png, Leather Wristguards, 1, Leather, 1, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(4, 2, 1, null, ../../assets/recipe-icons/leatherworker/leather-duckbills.png, Leather Duckbills, 1, Leather, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(5, 3, 1, null, ../../assets/recipe-icons/leatherworker/leather-shepherd's-belt.png, Leather Shepherd's Belt, 1, Leather, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(6, 3, 1, null, ../../assets/recipe-icons/leatherworker/merchant's-purse.png, Merchant's Purse, 1, Leather, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(7, 3, 1, null, ../../assets/recipe-icons/leatherworker/leather-duckbills-of-gathering.png, Leather Duckbills of Gathering, 1, Leather, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(8, 4, 5, null, ../../assets/recipe-icons/leatherworker/leather-eyepatch.png, Leather Eyepatch, 1, Leather, 1, Animal Sinew, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(9, 4, 5, null, ../../assets/recipe-icons/leatherworker/fingerless-leather-gloves.png, Fingerless Leather Gloves, 1, Leather, 2, Bronze Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(10, 4, 8, null, ../../assets/recipe-icons/leatherworker/leather-belt.png, Leather Belt, 1, Leather, 1, Bronze Ingot, 1, Animal Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(11, 4, 5, null, ../../assets/recipe-icons/leatherworker/leather-shoes.png, Leather Shoes, 1, Leather, 1, Animal Sinew, 1, Rubber, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(12, 5, 5, null, ../../assets/recipe-icons/leatherworker/leather-culottes.png, Leather Culottes, 1, Leather, 2, Undyed Hempen Cloth, 2, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(13, 5, 5, null, ../../assets/recipe-icons/leatherworker/leather-crakows.png, Leather Crakows, 1, Leather, 1, Bronze Ingot, 1, Animal Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(14, 5, 5, null, ../../assets/recipe-icons/leatherworker/altered-thighboots.png, Altered Thighboots, 1, Leather, 1, Bronze Ingot, 1, Animal Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(15, 5, 5, null, ../../assets/recipe-icons/leatherworker/leather-choker.png, Leather Choker, 1, Leather, 1, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
