(1, 1, null, null, ../../assets/recipe-icons/weaver/hempen-yarn.png, Hempen Yarn, 2, Moko Grass, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(2, 2, null, null, ../../assets/recipe-icons/weaver/undyed-hempen-cloth.png, Undyed Hempen Cloth, 1, Hempen Yarn, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(3, 2, 1, null, ../../assets/recipe-icons/weaver/hempen-halfgloves.png, Hempen Halfgloves, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(4, 2, 1, null, ../../assets/recipe-icons/weaver/hempen-underpants.png, Hempen Underpants, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(5, 2, 1, null, ../../assets/recipe-icons/weaver/hempen-pantalettes.png, Hempen Pantalettes, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(6, 3, 1, null, ../../assets/recipe-icons/weaver/hempen-coif.png, Hempen Coif, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(7, 3, 1, null, ../../assets/recipe-icons/weaver/hempen-undershirt.png, Hempen Undershirt, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(8, 3, 1, null, ../../assets/recipe-icons/weaver/hempen-camise.png, Hempen Camise, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(9, 3, 1, null, ../../assets/recipe-icons/weaver/hempen-breeches-of-crafting.png, Hempen Breeches of Crafting, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(10, 4, 1, null, ../../assets/recipe-icons/weaver/hempen-coif-of-gathering.png, Hempen Coif of Gathering, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(11, 4, 1, null, ../../assets/recipe-icons/weaver/hempen-kurta.png, Hempen Kurta, 1, Undyed Hempen Cloth, 3, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(12, 4, 1, null, ../../assets/recipe-icons/weaver/hempen-dalmatica.png, Hempen Dalmatica, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Animal Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(13, 4, 1, null, ../../assets/recipe-icons/weaver/hempen-shepherd's-slops.png, Hempen Shepherd's Slops, 1, Undyed Hempen Cloth, 2, Leather, 1, Animal Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(14, 4, 1, null, ../../assets/recipe-icons/weaver/hempen-breeches.png, Hempen Breeches, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(15, 5, 5, null, ../../assets/recipe-icons/weaver/hempen-bandana.png, Hempen Bandana, 1, Undyed Hempen Cloth, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(16, 5, 1, null, ../../assets/recipe-icons/weaver/hempen-tunic.png, Hempen Tunic, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(17, 5, 1, null, ../../assets/recipe-icons/weaver/hempen-dalmatica-of-gathering.png, Hempen Dalmatica of Gathering, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Animal Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(18, 5, 8, null, ../../assets/recipe-icons/weaver/hempen-cowl.png, Hempen Cowl, 1, Undyed Hempen Cloth, 4, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(19, 5, 5, null, ../../assets/recipe-icons/weaver/hempen-sarouel.png, Hempen Sarouel, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Animal Sinew, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(20, 5, 5, null, ../../assets/recipe-icons/weaver/hempen-chausses.png, Hempen Chausses, 1, Undyed Hempen Cloth, 3, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(21, 5, 5, null, ../../assets/recipe-icons/weaver/hempen-tights.png, Hempen Tights, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(22, 6, 5, null, ../../assets/recipe-icons/weaver/hempen-hat.png, Hempen Hat, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Cock Feather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
